,date,sitename,value,fips
16856,2020-04-13,Moran,0.0,24001
16857,2020-04-13,Horse Rock,1.0,24001
16858,2020-04-13,Riviera Beach,2.0,24003
16859,2020-04-13,Essex,0.0,24005
16860,2020-04-13,Horn Point,0.0,24019
16861,2020-04-13,Piney Run,0.0,24023
16862,2020-04-13,HU-Beltsville,0.0,24033
16863,2020-04-13,Fall River,0.0,25005
16864,2020-04-13,SPRINGFIELDSP,0.0,25013
16865,2020-04-13,WARE,0.0,25015
16866,2020-04-13,BOSTON-KENMORE,0.0,25025
16867,2020-04-13,Boston - Roxbury,0.0,25025
16868,2020-04-13,Worcester,0.0,25027
16869,2020-04-13,LANSING FILLEY ST,1.0,26065
16870,2020-04-13,GRAND RAPIDS,0.0,26081
16871,2020-04-13,MONROE STERLING ST PK,0.0,26115
16872,2020-04-13,WEST OLIVE,0.0,26139
16873,2020-04-13,PORT HURON,0.0,26147
16874,2020-04-13,ALLEN PARK,0.0,26163
16875,2020-04-13,DETROIT - SOUTHWEST ,0.0,26163
16876,2020-04-13,NMH48217,0.0,26163
16877,2020-04-13,DET POLICE 4TH,0.0,26163
16878,2020-04-13,TRINITY ST MARKS,0.0,26163
16879,2020-04-13,MILITARY PARK,0.0,26163
16880,2020-04-13,Blaine,0.0,27003
16881,2020-04-13,Minneapolis-Downtown,1.0,27053
16882,2020-04-13,Jackson NCORE,0.0,28049
16883,2020-04-13,PASCAGOULA,0.0,28059
16884,2020-04-13,Buick NE,0.0,29093
16885,2020-04-13,Troost,0.0,29095
16886,2020-04-13,"Herculaneum, Mott Street",2.0,29099
16887,2020-04-13,MTSP,1.0,29137
16888,2020-04-13,Rider Trail I-70,0.0,29189
16889,2020-04-13,BLAIR STREET,0.0,29510
16890,2020-04-13,Billings Coburn Rd,2.0,30111
16891,2020-04-13,NCORE,0.0,31055
16892,2020-04-13,16th and Whitmore,2.0,31055
16893,2020-04-13,Sheldon Station,0.0,31109
16894,2020-04-13,Jerome Mack,0.0,32003
16895,2020-04-13,Miller State Park,0.0,33011
16896,2020-04-13,Pembroke Exchange St,1.0,33013
16897,2020-04-13,Portsmouth,0.0,33015
16898,2020-04-13,Londonderry - Moose Hill,0.0,33015
16899,2020-04-13,Brigantine,0.0,34001
16900,2020-04-13,Camden Spruce St,0.0,34007
16901,2020-04-13,Newark Firehouse,0.0,34013
16902,2020-04-13,Bayonne,0.0,34017
16903,2020-04-13,Jersey City,1.0,34017
16904,2020-04-13,Chester,0.0,34027
16905,2020-04-13,Elizabeth,0.0,34039
16906,2020-04-13,Elizabeth Trailer,0.0,34039
16907,2020-04-13,Columbia,0.0,34041
16908,2020-04-13,Bloomfield,0.0,35045
16909,2020-04-13,Substation,0.0,35045
16910,2020-04-13,BAYVIEW,0.0,37013
16911,2020-04-13,Southport DRR,0.0,37019
16912,2020-04-13,Skyland DRR,0.0,37021
16913,2020-04-13,LENOIR,0.0,37027
16914,2020-04-13,Durham Armory,0.0,37063
16915,2020-04-13,HATTIEAVEN,0.0,37067
16916,2020-04-13,Canton DRR,0.0,37087
16917,2020-04-13,Semora DRR,0.0,37145
16918,2020-04-13,BETHANY,0.0,37157
16919,2020-04-13,Millbrook NCore,0.0,37183
16920,2020-04-13,Lostwood NWR,1.0,38013
16921,2020-04-13,Bismarck Residential,0.0,38015
16922,2020-04-13,Fargo NW,1.0,38017
16923,2020-04-13,TRNP-NU,0.0,38053
16924,2020-04-13,Beulah North,1.0,38057
16925,2020-04-13,Hannover,1.0,38065
16926,2020-04-13,RYDER,0.0,38101
16927,2020-04-13,West Union,0.0,39001
16928,2020-04-13,Lima,0.0,39003
16929,2020-04-13,Conneaut,0.0,39007
16930,2020-04-13,Shadyside PSD,0.0,39013
16931,2020-04-13,Amanda  Elementary,0.0,39017
16932,2020-04-13,Yankee Road,0.0,39017
16933,2020-04-13,Made,1.0,39017
16934,2020-04-13,Mud Run,0.0,39023
16935,2020-04-13,East Liverpool,1.0,39029
16936,2020-04-13,St Theodosius,0.0,39035
