,county,state,population,full_county
1356,McLeod,MN,35893,"McLeod, MN"
1357,Mahnomen,MN,5527,"Mahnomen, MN"
1358,Marshall,MN,9336,"Marshall, MN"
1359,Martin,MN,19683,"Martin, MN"
1360,Meeker,MN,23222,"Meeker, MN"
1361,Mille Lacs,MN,26277,"Mille Lacs, MN"
1362,Morrison,MN,33386,"Morrison, MN"
1363,Mower,MN,40062,"Mower, MN"
1364,Murray,MN,8194,"Murray, MN"
1365,Nicollet,MN,34274,"Nicollet, MN"
1366,Nobles,MN,21629,"Nobles, MN"
1367,Norman,MN,6375,"Norman, MN"
1368,Olmsted,MN,158293,"Olmsted, MN"
1369,Otter Tail,MN,58746,"Otter Tail, MN"
1370,Pennington,MN,14119,"Pennington, MN"
1371,Pine,MN,29579,"Pine, MN"
1372,Pipestone,MN,9126,"Pipestone, MN"
1373,Polk,MN,31364,"Polk, MN"
1374,Pope,MN,11249,"Pope, MN"
1375,Ramsey,MN,550321,"Ramsey, MN"
1376,Red Lake,MN,4055,"Red Lake, MN"
1377,Redwood,MN,15170,"Redwood, MN"
1378,Renville,MN,14548,"Renville, MN"
1379,Rice,MN,66972,"Rice, MN"
1380,Rock,MN,9315,"Rock, MN"
1381,Roseau,MN,15165,"Roseau, MN"
1382,St. Louis,MN,199070,"St. Louis, MN"
1383,Scott,MN,149013,"Scott, MN"
1384,Sherburne,MN,97238,"Sherburne, MN"
1385,Sibley,MN,14865,"Sibley, MN"
1386,Stearns,MN,161075,"Stearns, MN"
1387,Steele,MN,36649,"Steele, MN"
1388,Stevens,MN,9805,"Stevens, MN"
1389,Swift,MN,9266,"Swift, MN"
1390,Todd,MN,24664,"Todd, MN"
1391,Traverse,MN,3259,"Traverse, MN"
1392,Wabasha,MN,21627,"Wabasha, MN"
1393,Wadena,MN,13682,"Wadena, MN"
1394,Waseca,MN,18612,"Waseca, MN"
1395,WA,MN,262440,"WA, MN"
1396,Watonwan,MN,10897,"Watonwan, MN"
1397,Wilkin,MN,6207,"Wilkin, MN"
1398,Winona,MN,50484,"Winona, MN"
1399,Wright,MN,138377,"Wright, MN"
1400,Yellow Medicine,MN,9709,"Yellow Medicine, MN"
1401,Adams,MS,30693,"Adams, MS"
1402,Alcorn,MS,36953,"Alcorn, MS"
1403,Amite,MS,12297,"Amite, MS"
1404,Attala,MS,18174,"Attala, MS"
1405,Benton,MS,8259,"Benton, MS"
1406,Bolivar,MS,30628,"Bolivar, MS"
1407,Calhoun,MS,14361,"Calhoun, MS"
1408,Carroll,MS,9947,"Carroll, MS"
1409,Chickasaw,MS,17103,"Chickasaw, MS"
1410,Choctaw,MS,8210,"Choctaw, MS"
1411,Claiborne,MS,8988,"Claiborne, MS"
1412,Clarke,MS,15541,"Clarke, MS"
1413,Clay,MS,19316,"Clay, MS"
1414,Coahoma,MS,22124,"Coahoma, MS"
1415,Copiah,MS,28065,"Copiah, MS"
1416,Covington,MS,18636,"Covington, MS"
1417,DeSoto,MS,184945,"DeSoto, MS"
1418,Forrest,MS,74897,"Forrest, MS"
1419,Franklin,MS,7713,"Franklin, MS"
1420,George,MS,24500,"George, MS"
1421,Greene,MS,13586,"Greene, MS"
1422,Grenada,MS,20758,"Grenada, MS"
1423,Hancock,MS,47632,"Hancock, MS"
1424,Harrison,MS,208080,"Harrison, MS"
1425,Hinds,MS,231840,"Hinds, MS"
1426,Holmes,MS,17010,"Holmes, MS"
1427,Humphreys,MS,8064,"Humphreys, MS"
1428,Issaquena,MS,1327,"Issaquena, MS"
1429,Itawamba,MS,23390,"Itawamba, MS"
1430,Jackson,MS,143617,"Jackson, MS"
1431,Jasper,MS,16383,"Jasper, MS"
1432,Jefferson,MS,6990,"Jefferson, MS"
1433,Jefferson Davis,MS,11128,"Jefferson Davis, MS"
1434,Jones,MS,68098,"Jones, MS"
1435,Kemper,MS,9742,"Kemper, MS"
1436,Lafayette,MS,54019,"Lafayette, MS"
1437,Lamar,MS,63343,"Lamar, MS"
1438,Lauderdale,MS,74125,"Lauderdale, MS"
1439,Lawrence,MS,12586,"Lawrence, MS"
1440,Leake,MS,22786,"Leake, MS"
1441,Lee,MS,85436,"Lee, MS"
1442,Leflore,MS,28183,"Leflore, MS"
1443,Lincoln,MS,34153,"Lincoln, MS"
1444,Lowndes,MS,58595,"Lowndes, MS"
1445,Madison,MS,106272,"Madison, MS"
1446,Marion,MS,24573,"Marion, MS"
1447,Marshall,MS,35294,"Marshall, MS"
1448,Monroe,MS,35252,"Monroe, MS"
1449,Montgomery,MS,9775,"Montgomery, MS"
1450,Neshoba,MS,29118,"Neshoba, MS"
1451,Newton,MS,21018,"Newton, MS"
1452,Noxubee,MS,10417,"Noxubee, MS"
1453,Oktibbeha,MS,49587,"Oktibbeha, MS"
1454,Panola,MS,34192,"Panola, MS"
1455,Pearl River,MS,55535,"Pearl River, MS"
1456,Perry,MS,11973,"Perry, MS"
1457,Pike,MS,39288,"Pike, MS"
1458,Pontotoc,MS,32174,"Pontotoc, MS"
1459,Prentiss,MS,25126,"Prentiss, MS"
1460,Quitman,MS,6792,"Quitman, MS"
1461,Rankin,MS,155271,"Rankin, MS"
1462,Scott,MS,28124,"Scott, MS"
1463,Sharkey,MS,4321,"Sharkey, MS"
1464,Simpson,MS,26658,"Simpson, MS"
1465,Smith,MS,15916,"Smith, MS"
1466,Stone,MS,18336,"Stone, MS"
1467,Sunflower,MS,25110,"Sunflower, MS"
1468,Tallahatchie,MS,13809,"Tallahatchie, MS"
1469,Tate,MS,28321,"Tate, MS"
1470,Tippah,MS,22015,"Tippah, MS"
1471,Tishomingo,MS,19383,"Tishomingo, MS"
1472,Tunica,MS,9632,"Tunica, MS"
1473,Union,MS,28815,"Union, MS"
1474,Walthall,MS,14286,"Walthall, MS"
1475,Warren,MS,45381,"Warren, MS"
1476,WA,MS,43909,"WA, MS"
1477,Wayne,MS,20183,"Wayne, MS"
1478,Webster,MS,9689,"Webster, MS"
1479,Wilkinson,MS,8630,"Wilkinson, MS"
1480,Winston,MS,17955,"Winston, MS"
1481,Yalobusha,MS,12108,"Yalobusha, MS"
1482,Yazoo,MS,29690,"Yazoo, MS"
1483,Adair,MO,25343,"Adair, MO"
1484,Andrew,MO,17712,"Andrew, MO"
1485,Atchison,MO,5143,"Atchison, MO"
1486,Audrain,MO,25388,"Audrain, MO"
1487,Barry,MO,35789,"Barry, MO"
1488,Barton,MO,11754,"Barton, MO"
1489,Bates,MO,16172,"Bates, MO"
1490,Benton,MO,19443,"Benton, MO"
1491,Bollinger,MO,12133,"Bollinger, MO"
1492,Boone,MO,180463,"Boone, MO"
1493,Buchanan,MO,87364,"Buchanan, MO"
1494,Butler,MO,42478,"Butler, MO"
1495,Caldwell,MO,9020,"Caldwell, MO"
1496,Callaway,MO,44743,"Callaway, MO"
1497,Camden,MO,46305,"Camden, MO"
1498,Cape Girardeau,MO,78871,"Cape Girardeau, MO"
1499,Carroll,MO,8679,"Carroll, MO"
1500,Carter,MO,5982,"Carter, MO"
1501,Cass,MO,105780,"Cass, MO"
1502,Cedar,MO,14349,"Cedar, MO"
1503,Chariton,MO,7426,"Chariton, MO"
1504,Christian,MO,88595,"Christian, MO"
1505,Clark,MO,6797,"Clark, MO"
1506,Clay,MO,249948,"Clay, MO"
1507,Clinton,MO,20387,"Clinton, MO"
1508,Cole,MO,76745,"Cole, MO"
1509,Cooper,MO,17709,"Cooper, MO"
1510,Crawford,MO,23920,"Crawford, MO"
1511,Dade,MO,7561,"Dade, MO"
1512,Dallas,MO,16878,"Dallas, MO"
1513,Daviess,MO,8278,"Daviess, MO"
1514,DeKalb,MO,12547,"DeKalb, MO"
1515,Dent,MO,15573,"Dent, MO"
1516,Douglas,MO,13185,"Douglas, MO"
1517,Dunklin,MO,29131,"Dunklin, MO"
1518,Franklin,MO,103967,"Franklin, MO"
1519,Gasconade,MO,14706,"Gasconade, MO"
1520,Gentry,MO,6571,"Gentry, MO"
1521,Greene,MO,293086,"Greene, MO"
1522,Grundy,MO,9850,"Grundy, MO"
1523,Harrison,MO,8352,"Harrison, MO"
1524,Henry,MO,21824,"Henry, MO"
1525,Hickory,MO,9544,"Hickory, MO"
1526,Holt,MO,4403,"Holt, MO"
1527,Howard,MO,10001,"Howard, MO"
1528,Howell,MO,40117,"Howell, MO"
1529,Iron,MO,10125,"Iron, MO"
1530,Jackson,MO,703011,"Jackson, MO"
1531,Jasper,MO,121328,"Jasper, MO"
1532,Jefferson,MO,225081,"Jefferson, MO"
1533,Johnson,MO,54062,"Johnson, MO"
1534,Knox,MO,3959,"Knox, MO"
1535,Laclede,MO,35723,"Laclede, MO"
1536,Lafayette,MO,32708,"Lafayette, MO"
1537,Lawrence,MO,38355,"Lawrence, MO"
1538,Lewis,MO,9776,"Lewis, MO"
1539,Lincoln,MO,59013,"Lincoln, MO"
1540,Linn,MO,11920,"Linn, MO"
1541,Livingston,MO,15227,"Livingston, MO"
1542,McDonald,MO,22837,"McDonald, MO"
1543,Macon,MO,15117,"Macon, MO"
1544,Madison,MO,12088,"Madison, MO"
1545,Maries,MO,8697,"Maries, MO"
1546,Marion,MO,28530,"Marion, MO"
1547,Mercer,MO,3617,"Mercer, MO"
1548,Miller,MO,25619,"Miller, MO"
1549,MS,MO,13180,"MS, MO"
1550,Moniteau,MO,16132,"Moniteau, MO"
1551,Monroe,MO,8644,"Monroe, MO"
1552,Montgomery,MO,11551,"Montgomery, MO"
1553,Morgan,MO,20627,"Morgan, MO"
1554,New Madrid,MO,17076,"New Madrid, MO"
1555,Newton,MO,58236,"Newton, MO"
1556,Nodaway,MO,22092,"Nodaway, MO"
1557,OR,MO,10529,"OR, MO"
1558,Osage,MO,13615,"Osage, MO"
1559,Ozark,MO,9174,"Ozark, MO"
1560,Pemiscot,MO,15805,"Pemiscot, MO"
1561,Perry,MO,19136,"Perry, MO"
1562,Pettis,MO,42339,"Pettis, MO"
1563,Phelps,MO,44573,"Phelps, MO"
1564,Pike,MO,18302,"Pike, MO"
1565,Platte,MO,104418,"Platte, MO"
1566,Polk,MO,32149,"Polk, MO"
1567,Pulaski,MO,52607,"Pulaski, MO"
1568,Putnam,MO,4696,"Putnam, MO"
1569,Ralls,MO,10309,"Ralls, MO"
1570,Randolph,MO,24748,"Randolph, MO"
1571,Ray,MO,23018,"Ray, MO"
1572,Reynolds,MO,6270,"Reynolds, MO"
1573,Ripley,MO,13288,"Ripley, MO"
1574,St. Charles,MO,402022,"St. Charles, MO"
1575,St. Clair,MO,9397,"St. Clair, MO"
1576,Ste. Genevieve,MO,17894,"Ste. Genevieve, MO"
1577,St. Francois,MO,67215,"St. Francois, MO"
1578,St. Louis,MO,994205,"St. Louis, MO"
1579,Saline,MO,22761,"Saline, MO"
1580,Schuyler,MO,4660,"Schuyler, MO"
1581,Scotland,MO,4902,"Scotland, MO"
1582,Scott,MO,38280,"Scott, MO"
1583,Shannon,MO,8166,"Shannon, MO"
1584,Shelby,MO,5930,"Shelby, MO"
1585,Stoddard,MO,29025,"Stoddard, MO"
1586,Stone,MO,31952,"Stone, MO"
1587,Sullivan,MO,6089,"Sullivan, MO"
1588,Taney,MO,55928,"Taney, MO"
1589,TX,MO,25398,"TX, MO"
1590,Vernon,MO,20563,"Vernon, MO"
1591,Warren,MO,35649,"Warren, MO"
1592,WA,MO,24730,"WA, MO"
1593,Wayne,MO,12873,"Wayne, MO"
1594,Webster,MO,39592,"Webster, MO"
1595,Worth,MO,2013,"Worth, MO"
1596,Wright,MO,18289,"Wright, MO"
1597,St. Lou,MO,300576,"St. Lou, MO"
1598,Beaverhead,MT,9453,"Beaverhead, MT"
1599,Big Horn,MT,13319,"Big Horn, MT"
1600,Blaine,MT,6681,"Blaine, MT"
1601,Broadwater,MT,6237,"Broadwater, MT"
1602,Carbon,MT,10725,"Carbon, MT"
1603,Carter,MT,1252,"Carter, MT"
1604,Cascade,MT,81366,"Cascade, MT"
1605,Chouteau,MT,5635,"Chouteau, MT"
1606,Custer,MT,11402,"Custer, MT"
1607,Daniels,MT,1690,"Daniels, MT"
1608,Dawson,MT,8613,"Dawson, MT"
1609,Deer Lodge,MT,9140,"Deer Lodge, MT"
1610,Fallon,MT,2846,"Fallon, MT"
1611,Fergus,MT,11050,"Fergus, MT"
1612,Flathead,MT,103806,"Flathead, MT"
1613,Gallatin,MT,114434,"Gallatin, MT"
1614,Garfield,MT,1258,"Garfield, MT"
1615,Glacier,MT,13753,"Glacier, MT"
1616,Golden Valley,MT,821,"Golden Valley, MT"
1617,Granite,MT,3379,"Granite, MT"
1618,Hill,MT,16484,"Hill, MT"
1619,Jefferson,MT,12221,"Jefferson, MT"
1620,Judith Basin,MT,2007,"Judith Basin, MT"
1621,Lake,MT,30458,"Lake, MT"
1622,Lewis and Clark,MT,69432,"Lewis and Clark, MT"
1623,Liberty,MT,2337,"Liberty, MT"
1624,Lincoln,MT,19980,"Lincoln, MT"
1625,McCone,MT,1664,"McCone, MT"
1626,Madison,MT,8600,"Madison, MT"
1627,Meagher,MT,1862,"Meagher, MT"
1628,Mineral,MT,4397,"Mineral, MT"
1629,Missoula,MT,119600,"Missoula, MT"
1630,Musselshell,MT,4633,"Musselshell, MT"
1631,Park,MT,16606,"Park, MT"
1632,Petroleum,MT,487,"Petroleum, MT"
1633,Phillips,MT,3954,"Phillips, MT"
1634,Pondera,MT,5911,"Pondera, MT"
1635,Powder River,MT,1682,"Powder River, MT"
1636,Powell,MT,6890,"Powell, MT"
1637,Prairie,MT,1077,"Prairie, MT"
1638,Ravalli,MT,43806,"Ravalli, MT"
1639,Richland,MT,10803,"Richland, MT"
1640,Roosevelt,MT,11004,"Roosevelt, MT"
1641,Rosebud,MT,8937,"Rosebud, MT"
1642,Sanders,MT,12113,"Sanders, MT"
1643,Sheridan,MT,3309,"Sheridan, MT"
1644,Silver Bow,MT,34915,"Silver Bow, MT"
1645,Stillwater,MT,9642,"Stillwater, MT"
1646,Sweet Grass,MT,3737,"Sweet Grass, MT"
1647,Teton,MT,6147,"Teton, MT"
1648,Toole,MT,4736,"Toole, MT"
1649,Treasure,MT,696,"Treasure, MT"
1650,Valley,MT,7396,"Valley, MT"
1651,Wheatland,MT,2126,"Wheatland, MT"
1652,Wibaux,MT,969,"Wibaux, MT"
1653,Yellowstone,MT,161300,"Yellowstone, MT"
1654,Adams,NE,31363,"Adams, NE"
1655,Antelope,NE,6298,"Antelope, NE"
1656,Arthur,NE,463,"Arthur, NE"
1657,Banner,NE,745,"Banner, NE"
1658,Blaine,NE,465,"Blaine, NE"
1659,Boone,NE,5192,"Boone, NE"
1660,Box Butte,NE,10783,"Box Butte, NE"
1661,Boyd,NE,1919,"Boyd, NE"
1662,Brown,NE,2955,"Brown, NE"
1663,Buffalo,NE,49659,"Buffalo, NE"
1664,Burt,NE,6459,"Burt, NE"
1665,Butler,NE,8016,"Butler, NE"
1666,Cass,NE,26248,"Cass, NE"
1667,Cedar,NE,8402,"Cedar, NE"
1668,Chase,NE,3924,"Chase, NE"
1669,Cherry,NE,5689,"Cherry, NE"
1670,Cheyenne,NE,8910,"Cheyenne, NE"
1671,Clay,NE,6203,"Clay, NE"
1672,Colfax,NE,10709,"Colfax, NE"
1673,Cuming,NE,8846,"Cuming, NE"
1674,Custer,NE,10777,"Custer, NE"
1675,Dakota,NE,20026,"Dakota, NE"
1676,Dawes,NE,8589,"Dawes, NE"
1677,Dawson,NE,23595,"Dawson, NE"
1678,Deuel,NE,1794,"Deuel, NE"
1679,Dixon,NE,5636,"Dixon, NE"
1680,Dodge,NE,36565,"Dodge, NE"
1681,Douglas,NE,571327,"Douglas, NE"
1682,Dundy,NE,1693,"Dundy, NE"
1683,Fillmore,NE,5462,"Fillmore, NE"
1684,Franklin,NE,2979,"Franklin, NE"
1685,Frontier,NE,2627,"Frontier, NE"
1686,Furnas,NE,4676,"Furnas, NE"
1687,Gage,NE,21513,"Gage, NE"
1688,Garden,NE,1837,"Garden, NE"
1689,Garfield,NE,1969,"Garfield, NE"
1690,Gosper,NE,1990,"Gosper, NE"
1691,Grant,NE,623,"Grant, NE"
1692,Greeley,NE,2356,"Greeley, NE"
1693,Hall,NE,61353,"Hall, NE"
1694,Hamilton,NE,9324,"Hamilton, NE"
1695,Harlan,NE,3380,"Harlan, NE"
1696,Hayes,NE,922,"Hayes, NE"
1697,Hitchcock,NE,2762,"Hitchcock, NE"
1698,Holt,NE,10067,"Holt, NE"
1699,Hooker,NE,682,"Hooker, NE"
1700,Howard,NE,6445,"Howard, NE"
1701,Jefferson,NE,7046,"Jefferson, NE"
1702,Johnson,NE,5071,"Johnson, NE"
1703,Kearney,NE,6495,"Kearney, NE"
1704,Keith,NE,8034,"Keith, NE"
1705,Keya Paha,NE,806,"Keya Paha, NE"
1706,Kimball,NE,3632,"Kimball, NE"
1707,Knox,NE,8332,"Knox, NE"
1708,Lancaster,NE,319090,"Lancaster, NE"
1709,Lincoln,NE,34914,"Lincoln, NE"
1710,Logan,NE,748,"Logan, NE"
1711,Loup,NE,664,"Loup, NE"
1712,McPherson,NE,494,"McPherson, NE"
1713,Madison,NE,35099,"Madison, NE"
1714,Merrick,NE,7755,"Merrick, NE"
1715,Morrill,NE,4642,"Morrill, NE"
1716,Nance,NE,3519,"Nance, NE"
1717,Nemaha,NE,6972,"Nemaha, NE"
1718,Nuckolls,NE,4148,"Nuckolls, NE"
1719,Otoe,NE,16012,"Otoe, NE"
1720,Pawnee,NE,2613,"Pawnee, NE"
1721,Perkins,NE,2891,"Perkins, NE"
1722,Phelps,NE,9034,"Phelps, NE"
1723,Pierce,NE,7148,"Pierce, NE"
1724,Platte,NE,33470,"Platte, NE"
1725,Polk,NE,5213,"Polk, NE"
1726,Red Willow,NE,10724,"Red Willow, NE"
1727,Richardson,NE,7865,"Richardson, NE"
1728,Rock,NE,1357,"Rock, NE"
1729,Saline,NE,14224,"Saline, NE"
1730,Sarpy,NE,187196,"Sarpy, NE"
1731,Saunders,NE,21578,"Saunders, NE"
1732,Scotts Bluff,NE,35618,"Scotts Bluff, NE"
1733,Seward,NE,17284,"Seward, NE"
1734,Sheridan,NE,5246,"Sheridan, NE"
1735,Sherman,NE,3001,"Sherman, NE"
1736,Sioux,NE,1166,"Sioux, NE"
1737,Stanton,NE,5920,"Stanton, NE"
1738,Thayer,NE,5003,"Thayer, NE"
1739,Thomas,NE,722,"Thomas, NE"
1740,Thurston,NE,7224,"Thurston, NE"
1741,Valley,NE,4158,"Valley, NE"
1742,WA,NE,20729,"WA, NE"
1743,Wayne,NE,9385,"Wayne, NE"
1744,Webster,NE,3487,"Webster, NE"
1745,Wheeler,NE,783,"Wheeler, NE"
1746,York,NE,13679,"York, NE"
1747,Churchill,NV,24909,"Churchill, NV"
1748,Clark,NV,2266715,"Clark, NV"
1749,Douglas,NV,48905,"Douglas, NV"
1750,Elko,NV,52778,"Elko, NV"
1751,Esmeralda,NV,873,"Esmeralda, NV"
1752,Eureka,NV,2029,"Eureka, NV"
1753,Humboldt,NV,16831,"Humboldt, NV"
1754,Lander,NV,5532,"Lander, NV"
1755,Lincoln,NV,5183,"Lincoln, NV"
1756,Lyon,NV,57510,"Lyon, NV"
1757,Mineral,NV,4505,"Mineral, NV"
1758,Nye,NV,46523,"Nye, NV"
1759,Pershing,NV,6725,"Pershing, NV"
1760,Storey,NV,4123,"Storey, NV"
1761,Washoe,NV,471519,"Washoe, NV"
1762,White Pine,NV,9580,"White Pine, NV"
1763,Cars,NV,55916,"Cars, NV"
1764,Belknap,NH,61303,"Belknap, NH"
1765,Carroll,NH,48910,"Carroll, NH"
1766,Cheshire,NH,76085,"Cheshire, NH"
1767,Coos,NH,31563,"Coos, NH"
1768,Grafton,NH,89886,"Grafton, NH"
1769,Hillsborough,NH,417025,"Hillsborough, NH"
1770,Merrimack,NH,151391,"Merrimack, NH"
1771,Rockingham,NH,309769,"Rockingham, NH"
1772,Strafford,NH,130633,"Strafford, NH"
1773,Sullivan,NH,43146,"Sullivan, NH"
1774,Atlantic,NJ,263670,"Atlantic, NJ"
1775,Bergen,NJ,932202,"Bergen, NJ"
1776,Burlington,NJ,445349,"Burlington, NJ"
1777,Camden,NJ,506471,"Camden, NJ"
1778,Cape May,NJ,92039,"Cape May, NJ"
1779,Cumberland,NJ,149527,"Cumberland, NJ"
1780,Essex,NJ,798975,"Essex, NJ"
1781,Gloucester,NJ,291636,"Gloucester, NJ"
1782,Hudson,NJ,672391,"Hudson, NJ"
1783,Hunterdon,NJ,124371,"Hunterdon, NJ"
1784,Mercer,NJ,367430,"Mercer, NJ"
1785,Middlesex,NJ,825062,"Middlesex, NJ"
1786,Monmouth,NJ,618795,"Monmouth, NJ"
1787,Morris,NJ,491845,"Morris, NJ"
1788,Ocean,NJ,607186,"Ocean, NJ"
1789,Passaic,NJ,501826,"Passaic, NJ"
1790,Salem,NJ,62385,"Salem, NJ"
1791,Somerset,NJ,328934,"Somerset, NJ"
1792,Sussex,NJ,140488,"Sussex, NJ"
1793,Union,NJ,556341,"Union, NJ"
1794,Warren,NJ,105267,"Warren, NJ"
1795,Bernalillo,NM,679121,"Bernalillo, NM"
1796,Catron,NM,3527,"Catron, NM"
1797,Chaves,NM,64615,"Chaves, NM"
1798,Cibola,NM,26675,"Cibola, NM"
1799,Colfax,NM,11941,"Colfax, NM"
1800,Curry,NM,48954,"Curry, NM"
1801,De Baca,NM,1748,"De Baca, NM"
1802,Doa Ana,NM,218195,"Doa Ana, NM"
1803,Eddy,NM,58460,"Eddy, NM"
1804,Grant,NM,26998,"Grant, NM"
1805,Guadalupe,NM,4300,"Guadalupe, NM"
1806,Harding,NM,625,"Harding, NM"
1807,Hidalgo,NM,4198,"Hidalgo, NM"
1808,Lea,NM,71070,"Lea, NM"
1809,Lincoln,NM,19572,"Lincoln, NM"
1810,Los Alamos,NM,19369,"Los Alamos, NM"
1811,Luna,NM,23709,"Luna, NM"
1812,McKinley,NM,71367,"McKinley, NM"
1813,Mora,NM,4521,"Mora, NM"
1814,Otero,NM,67490,"Otero, NM"
1815,Quay,NM,8253,"Quay, NM"
1816,Rio Arriba,NM,38921,"Rio Arriba, NM"
1817,Roosevelt,NM,18500,"Roosevelt, NM"
1818,Sandoval,NM,146748,"Sandoval, NM"
1819,San Juan,NM,123958,"San Juan, NM"
1820,San Miguel,NM,27277,"San Miguel, NM"
1821,Santa Fe,NM,150358,"Santa Fe, NM"
1822,Sierra,NM,10791,"Sierra, NM"
1823,Socorro,NM,16637,"Socorro, NM"
1824,Taos,NM,32723,"Taos, NM"
1825,Torrance,NM,15461,"Torrance, NM"
1826,Union,NM,4059,"Union, NM"
1827,Valencia,NM,76688,"Valencia, NM"
1828,Albany,NY,305506,"Albany, NY"
1829,Allegany,NY,46091,"Allegany, NY"
1830,Bronx,NY,1418207,"Bronx, NY"
1831,Broome,NY,190488,"Broome, NY"
1832,Cattaraugus,NY,76117,"Cattaraugus, NY"
1833,Cayuga,NY,76576,"Cayuga, NY"
1834,Chautauqua,NY,126903,"Chautauqua, NY"
1835,Chemung,NY,83456,"Chemung, NY"
1836,Chenango,NY,47207,"Chenango, NY"
1837,Clinton,NY,80485,"Clinton, NY"
1838,Columbia,NY,59461,"Columbia, NY"
1839,Cortland,NY,47581,"Cortland, NY"
1840,DE,NY,44135,"DE, NY"
1841,Dutchess,NY,294218,"Dutchess, NY"
1842,Erie,NY,918702,"Erie, NY"
1843,Essex,NY,36885,"Essex, NY"
1844,Franklin,NY,50022,"Franklin, NY"
1845,Fulton,NY,53383,"Fulton, NY"
1846,Genesee,NY,57280,"Genesee, NY"
1847,Greene,NY,47188,"Greene, NY"
1848,Hamilton,NY,4416,"Hamilton, NY"
1849,Herkimer,NY,61319,"Herkimer, NY"
1850,Jefferson,NY,109834,"Jefferson, NY"
1851,Kings,NY,2559903,"Kings, NY"
1852,Lewis,NY,26296,"Lewis, NY"
1853,Livingston,NY,62914,"Livingston, NY"
1854,Madison,NY,70941,"Madison, NY"
1855,Monroe,NY,741770,"Monroe, NY"
1856,Montgomery,NY,49221,"Montgomery, NY"
1857,Nassau,NY,1356924,"Nassau, NY"
1858,NY,NY,1628706,"NY, NY"
1859,Niagara,NY,209281,"Niagara, NY"
1860,Oneida,NY,228671,"Oneida, NY"
1861,Onondaga,NY,460528,"Onondaga, NY"
1862,Ontario,NY,109777,"Ontario, NY"
1863,Orange,NY,384940,"Orange, NY"
1864,Orleans,NY,40352,"Orleans, NY"
1865,Oswego,NY,117124,"Oswego, NY"
1866,Otsego,NY,59493,"Otsego, NY"
1867,Putnam,NY,98320,"Putnam, NY"
1868,Queens,NY,2253858,"Queens, NY"
1869,Rensselaer,NY,158714,"Rensselaer, NY"
1870,Richmond,NY,476143,"Richmond, NY"
1871,Rockland,NY,325789,"Rockland, NY"
1872,St. Lawrence,NY,107740,"St. Lawrence, NY"
1873,Saratoga,NY,229863,"Saratoga, NY"
1874,Schenectady,NY,155299,"Schenectady, NY"
1875,Schoharie,NY,30999,"Schoharie, NY"
1876,Schuyler,NY,17807,"Schuyler, NY"
1877,Seneca,NY,34016,"Seneca, NY"
1878,Steuben,NY,95379,"Steuben, NY"
1879,Suffolk,NY,1476601,"Suffolk, NY"
1880,Sullivan,NY,75432,"Sullivan, NY"
1881,Tioga,NY,48203,"Tioga, NY"
1882,Tompkins,NY,102180,"Tompkins, NY"
1883,Ulster,NY,177573,"Ulster, NY"
1884,Warren,NY,63944,"Warren, NY"
1885,WA,NY,61204,"WA, NY"
1886,Wayne,NY,89918,"Wayne, NY"
1887,Westchester,NY,967506,"Westchester, NY"
1888,WY,NY,39859,"WY, NY"
1889,Yates,NY,24913,"Yates, NY"
1890,Alamance,NC,169509,"Alamance, NC"
1891,Alexander,NC,37497,"Alexander, NC"
1892,Alleghany,NC,11137,"Alleghany, NC"
1893,Anson,NC,24446,"Anson, NC"
1894,Ashe,NC,27203,"Ashe, NC"
1895,Avery,NC,17557,"Avery, NC"
1896,Beaufort,NC,46994,"Beaufort, NC"
1897,Bertie,NC,18947,"Bertie, NC"
1898,Bladen,NC,32722,"Bladen, NC"
1899,Brunswick,NC,142820,"Brunswick, NC"
1900,Buncombe,NC,261191,"Buncombe, NC"
1901,Burke,NC,90485,"Burke, NC"
1902,Cabarrus,NC,216453,"Cabarrus, NC"
1903,Caldwell,NC,82178,"Caldwell, NC"
1904,Camden,NC,10867,"Camden, NC"
1905,Carteret,NC,69473,"Carteret, NC"
1906,Caswell,NC,22604,"Caswell, NC"
1907,Catawba,NC,159551,"Catawba, NC"
1908,Chatham,NC,74470,"Chatham, NC"
1909,Cherokee,NC,28612,"Cherokee, NC"
1910,Chowan,NC,13943,"Chowan, NC"
1911,Clay,NC,11231,"Clay, NC"
1912,Cleveland,NC,97947,"Cleveland, NC"
1913,Columbus,NC,55508,"Columbus, NC"
1914,Craven,NC,102139,"Craven, NC"
1915,Cumberland,NC,335509,"Cumberland, NC"
1916,Currituck,NC,27763,"Currituck, NC"
1917,Dare,NC,37009,"Dare, NC"
1918,Davidson,NC,167609,"Davidson, NC"
1919,Davie,NC,42846,"Davie, NC"
1920,Duplin,NC,58741,"Duplin, NC"
1921,Durham,NC,321488,"Durham, NC"
1922,Edgecombe,NC,51472,"Edgecombe, NC"
1923,Forsyth,NC,382295,"Forsyth, NC"
1924,Franklin,NC,69685,"Franklin, NC"
1925,Gaston,NC,224529,"Gaston, NC"
1926,Gates,NC,11562,"Gates, NC"
1927,Graham,NC,8441,"Graham, NC"
1928,Granville,NC,60443,"Granville, NC"
1929,Greene,NC,21069,"Greene, NC"
1930,Guilford,NC,537174,"Guilford, NC"
1931,Halifax,NC,50010,"Halifax, NC"
1932,Harnett,NC,135976,"Harnett, NC"
1933,Haywood,NC,62317,"Haywood, NC"
1934,Henderson,NC,117417,"Henderson, NC"
