,date,sitename,value,aqi_value,aqi_category,fips
201,2020-02-01,Bronx - IS52,29.0,28,0,36005
202,2020-02-01,Taylorsville Liledoun,7.0,6,0,37003
203,2020-02-01,CHERRYGR,8.0,8,0,37033
204,2020-02-01,W OWEN SCH,5.0,5,0,37051
205,2020-02-01,Durham Armory,7.0,7,0,37063
206,2020-02-01,Burdens Creek,11.0,10,0,37063
207,2020-02-01,HATTIEAVEN,11.0,10,0,37067
208,2020-02-01,MENDNHAL,9.0,9,0,37081
209,2020-02-01,Millbrook NCore,8.0,8,0,37183
210,2020-02-01,Lostwood NWR,9.0,8,0,38013
211,2020-02-01,Fargo NW,5.0,6,0,38017
212,2020-02-01,TRNP-NU,11.0,10,0,38053
213,2020-02-01,Hannover,7.0,6,0,38065
214,2020-02-01,RYDER,5.0,5,0,38101
215,2020-02-01,G.T.Craig,12.0,12,0,39035
216,2020-02-01,Taft,26.0,24,0,39061
217,2020-02-01,Healdton,6.0,6,0,40019
218,2020-02-01,Moore,14.0,14,0,40027
219,2020-02-01,Lawton North,11.0,10,0,40031
220,2020-02-01,Seiling,5.0,5,0,40043
221,2020-02-01,Ponca City,9.0,8,0,40071
222,2020-02-01,Near Road OKC,13.0,13,0,40109
223,2020-02-01,North OKC,11.0,11,0,40109
224,2020-02-01,Glenpool,7.0,7,0,40143
225,2020-02-01,NEW,23.0,22,0,42101
226,2020-02-01,Jenkins Avenue,8.0,7,0,45019
227,2020-02-01,Greenville-ESC,6.0,6,0,45045
228,2020-02-01,Cayce City Hall,6.0,6,0,45063
229,2020-02-01,Research Farm,6.0,6,0,46011
230,2020-02-01,Watertown,7.0,7,0,46029
231,2020-02-01,WIND CAVE,9.0,8,0,46033
232,2020-02-01,Badlands,6.0,6,0,46071
233,2020-02-01,Black Hawk,1.0,2,0,46093
234,2020-02-01,Sioux Falls,7.0,6,0,46099
235,2020-02-01,Credit Union,17.0,16,0,46103
236,2020-02-01,UC1,6.0,6,0,46127
237,2020-02-01,El Paso UTEP C12,18.0,18,0,48141
238,2020-02-01,Socorro Hueco C49,34.0,31,0,48141
239,2020-02-01,Kennewick-Metaline,6.0,6,0,53005
240,2020-02-01,Spokane-Augusta Ave,11.0,10,0,53063
241,2020-02-01,Colville-E 1st St,17.0,16,0,53065
242,2020-02-01,Burbank-Maple Street,8.0,7,0,53071
243,2020-02-01,Yakima-4th Ave,6.0,6,0,53077
244,2020-02-01,Horicon Wildlife Area,15.0,15,0,55027
245,2020-02-01,Eau Claire,16.0,16,0,55035
246,2020-02-01,MILWAUKEE SER DNR,17.0,16,0,55079
247,2020-02-01,MILWAUKEE COLLEGE AVE.-NR,15.0,14,0,55079
248,2020-02-01,Devils Lake,17.0,17,0,55111
249,2020-02-01,WAUKESHA - CLEVELAND AVE,19.0,18,0,55133
250,2020-02-01,Converse County Long-Term,3.0,4,0,56009
251,2020-02-01,Johnson County,2.0,2,0,56019
252,2020-02-01,Cheyenne NCore,4.0,5,0,56021
253,2020-02-01,Sheridan PD,9.0,9,0,56033
254,2020-02-01,Boulder,1.0,2,0,56035
255,2020-02-01,Daniel South,4.0,4,0,56035
256,2020-02-01,Wamsutter,1.0,2,0,56037
257,2020-02-01,Moxa Arch,1.0,1,0,56037
258,2020-02-01,Murphy Ridge,3.0,4,0,56041
259,2020-02-01,Laurel,8.0,8,0,84002
260,2020-02-01,Olancha,4.0,5,0,84006
261,2020-02-01,Paonia,6.0,6,0,84008
262,2020-02-01,Lake Ilo,2.0,3,0,84038
263,2020-02-01,Aberdeen,9.0,8,0,84046
264,2020-02-01,Madison University Ave,19.0,18,0,84055
265,2020-02-01,Laramie County Mobile,20.0,19,0,84056
266,2020-02-01,James Town Mobile,3.0,4,0,84056
267,2020-02-01,Indio-29 Palms,22.0,21,0,840TT
268,2020-02-01,Santa Rosa Rancheria,41.0,39,0,TT542
269,2020-02-02,NO. BHAM,12.0,11,0,01073
270,2020-02-02,WYLAM,9.0,8,0,01073
271,2020-02-02,Garden,6.0,6,0,02020
272,2020-02-02,Parkgate (Eagle River),2.0,2,0,02020
273,2020-02-02,Bethel,4.0,4,0,02050
274,2020-02-02,NCore,29.0,27,0,02090
275,2020-02-02,Floyd Dryden,3.0,4,0,02110
276,2020-02-02,Butte (Harrison Court),5.0,5,0,02170
277,2020-02-02,Paul Spur Chemical Lime Plant,8.0,7,0,04003
278,2020-02-02,Douglas Red Cross,27.0,25,0,04003
279,2020-02-02,Payson Well Site,16.0,15,0,04007
280,2020-02-02,Hayden,7.0,6,0,04007
281,2020-02-02,Miami Golf Course,15.0,15,0,04007
